iter	MultiClass
0	1.881251362
1	1.826180066
2	1.767026984
3	1.716267884
4	1.67228916
5	1.629428887
6	1.585778447
7	1.557816465
8	1.5254877
9	1.497866331
10	1.461836137
11	1.432538705
12	1.40341121
13	1.377405946
14	1.353694232
15	1.326874947
16	1.300619993
17	1.282052772
18	1.263283372
19	1.24518645
20	1.224863792
21	1.205289769
22	1.188035811
23	1.169498791
24	1.156200408
25	1.142003762
26	1.126943101
27	1.112892845
28	1.10137409
29	1.089175203
30	1.075938058
31	1.062264352
32	1.048230993
33	1.037393426
34	1.023883377
35	1.012300162
36	1.001804365
37	0.9906011622
38	0.9771510501
39	0.9695509507
40	0.9605798141
41	0.9532202452
42	0.9445826082
43	0.9365827112
44	0.928551692
45	0.9219227086
46	0.9146029162
47	0.9070916478
48	0.8976592671
49	0.8906828483
50	0.8820878576
51	0.873153796
52	0.8652268291
53	0.8591919225
54	0.8516948945
55	0.8453029678
56	0.8390834741
57	0.8336915158
58	0.8280207523
59	0.8233674463
60	0.8168747431
61	0.81118696
62	0.8068057129
63	0.8015633396
64	0.7962223276
65	0.7901439302
66	0.7852098037
67	0.7804966631
68	0.7745792489
69	0.7697641937
70	0.7648156616
71	0.7604097856
72	0.7560346735
73	0.7522030657
74	0.7478822256
75	0.7442450177
76	0.7402694314
77	0.7352118194
78	0.7310400665
79	0.7271903793
80	0.7237738722
81	0.7200915558
82	0.7158304371
83	0.7124497822
84	0.7078560176
85	0.7043758158
86	0.7012297791
87	0.6975682066
88	0.6938990589
89	0.6901152528
90	0.6872686706
91	0.6838903462
92	0.6804258224
93	0.6773329747
94	0.6743501319
95	0.6718789915
96	0.6688775636
97	0.6664988042
98	0.6635714972
99	0.660763621
100	0.6579688706
101	0.6549177106
102	0.6512736926
103	0.6478719242
104	0.6451096222
105	0.6423682272
106	0.6396056284
107	0.636372651
108	0.6336613976
109	0.6309183707
110	0.6277530126
111	0.6255202731
112	0.6222038099
113	0.6200426128
114	0.6166622942
115	0.6142053423
116	0.6115215072
117	0.6092517386
118	0.6071048182
119	0.6046413636
120	0.6022462608
121	0.5996363589
122	0.5972117121
123	0.5952624208
124	0.5921056846
125	0.5901209133
126	0.5883209509
127	0.5862640239
128	0.5846328944
129	0.5823943157
130	0.5803719078
